lemma,mood,tense,person,value,status,note
hablar,subjunctive,subjImpf,1s,hablara,Unknown-tense,No hay generador para este modo/tiempo
hablar,subjunctive,subjImpf,2s_tu,hablaras,Unknown-tense,No hay generador para este modo/tiempo
hablar,subjunctive,subjImpf,2s_vos,hablaras,Unknown-tense,No hay generador para este modo/tiempo
hablar,subjunctive,subjImpf,3s,hablara,Unknown-tense,No hay generador para este modo/tiempo
hablar,subjunctive,subjImpf,1p,habláramos,Unknown-tense,No hay generador para este modo/tiempo
hablar,subjunctive,subjImpf,2p_vosotros,hablarais,Unknown-tense,No hay generador para este modo/tiempo
hablar,subjunctive,subjImpf,3p,hablaran,Unknown-tense,No hay generador para este modo/tiempo
comer,subjunctive,subjImpf,1s,comiera,Unknown-tense,No hay generador para este modo/tiempo
comer,subjunctive,subjImpf,2s_tu,comieras,Unknown-tense,No hay generador para este modo/tiempo
comer,subjunctive,subjImpf,2s_vos,comieras,Unknown-tense,No hay generador para este modo/tiempo
comer,subjunctive,subjImpf,3s,comiera,Unknown-tense,No hay generador para este modo/tiempo
comer,subjunctive,subjImpf,1p,comiéramos,Unknown-tense,No hay generador para este modo/tiempo
comer,subjunctive,subjImpf,2p_vosotros,comierais,Unknown-tense,No hay generador para este modo/tiempo
comer,subjunctive,subjImpf,3p,comieran,Unknown-tense,No hay generador para este modo/tiempo
vivir,subjunctive,subjPres,2s_vos,viva,Mismatch,Esperado: vivas
vivir,subjunctive,subjPres,3s,vivamos,Mismatch,Esperado: viva
vivir,subjunctive,subjPres,1p,viváis,Mismatch,Esperado: vivamos
vivir,subjunctive,subjPres,2p_vosotros,vivan,Mismatch,Esperado: viváis
vivir,subjunctive,subjPres,3p,viv,Mismatch,Esperado: vivan
vivir,imperative,impAff,3s,vivamos,Mismatch,Esperado: viva
vivir,imperative,impAff,1p,viváis,Mismatch,Esperado: vivamos
vivir,imperative,impAff,3p,viv,Mismatch,Esperado: vivan
vivir,imperative,impNeg,2s_vos,no viva,Mismatch,Esperado: no vivas
vivir,imperative,impNeg,3s,no vivamos,Mismatch,Esperado: no viva
vivir,imperative,impNeg,1p,no viváis,Mismatch,Esperado: no vivamos
vivir,imperative,impNeg,2p_vosotros,no vivan,Mismatch,Esperado: no viváis
vivir,imperative,impNeg,3p,no viv,Mismatch,Esperado: no vivan
vivir,subjunctive,subjImpf,1s,viviera,Unknown-tense,No hay generador para este modo/tiempo
vivir,subjunctive,subjImpf,2s_tu,vivieras,Unknown-tense,No hay generador para este modo/tiempo
vivir,subjunctive,subjImpf,2s_vos,vivieras,Unknown-tense,No hay generador para este modo/tiempo
vivir,subjunctive,subjImpf,3s,viviera,Unknown-tense,No hay generador para este modo/tiempo
vivir,subjunctive,subjImpf,1p,viváramos,Unknown-tense,No hay generador para este modo/tiempo
vivir,subjunctive,subjImpf,2p_vosotros,vivierais,Unknown-tense,No hay generador para este modo/tiempo
vivir,subjunctive,subjImpf,3p,vivieran,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,1s,trabajara,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,2s_tu,trabajaras,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,3s,trabajara,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,1p,trabajáramos,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,2p_vosotros,trabajarais,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,3p,trabajaran,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,1s,trabajara,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,2s_vos,trabajaras,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,3s,trabajara,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,1p,trabajáramos,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,3p,trabajaran,Unknown-tense,No hay generador para este modo/tiempo
trabajar,subjunctive,subjImpf,3p,trabajaran,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,1s,estudiara,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,2s_tu,estudiaras,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,3s,estudiara,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,1p,estudiáramos,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,2p_vosotros,estudiarais,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,3p,estudiaran,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,1s,estudiara,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,2s_vos,estudiaras,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,3s,estudiara,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,1p,estudiáramos,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,3p,estudiaran,Unknown-tense,No hay generador para este modo/tiempo
estudiar,subjunctive,subjImpf,3p,estudiaran,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,1s,caminara,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,2s_tu,caminaras,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,3s,caminara,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,1p,camináramos,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,2p_vosotros,caminarais,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,3p,caminaran,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,1s,caminara,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,2s_vos,caminaras,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,3s,caminara,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,1p,camináramos,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,3p,caminaran,Unknown-tense,No hay generador para este modo/tiempo
caminar,subjunctive,subjImpf,3p,caminaran,Unknown-tense,No hay generador para este modo/tiempo
bailar,subjunctive,subjImpf,1s,bailara,Unknown-tense,No hay generador para este modo/tiempo
bailar,subjunctive,subjImpf,2s_tu,bailaras,Unknown-tense,No hay generador para este modo/tiempo
bailar,subjunctive,subjImpf,2s_vos,bailaras,Unknown-tense,No hay generador para este modo/tiempo
bailar,subjunctive,subjImpf,3s,bailara,Unknown-tense,No hay generador para este modo/tiempo
bailar,subjunctive,subjImpf,1p,bailáramos,Unknown-tense,No hay generador para este modo/tiempo
bailar,subjunctive,subjImpf,2p_vosotros,bailarais,Unknown-tense,No hay generador para este modo/tiempo
bailar,subjunctive,subjImpf,3p,bailaran,Unknown-tense,No hay generador para este modo/tiempo
cantar,subjunctive,subjImpf,1s,cantara,Unknown-tense,No hay generador para este modo/tiempo
cantar,subjunctive,subjImpf,2s_tu,cantaras,Unknown-tense,No hay generador para este modo/tiempo
cantar,subjunctive,subjImpf,2s_vos,cantaras,Unknown-tense,No hay generador para este modo/tiempo
cantar,subjunctive,subjImpf,3s,cantara,Unknown-tense,No hay generador para este modo/tiempo
cantar,subjunctive,subjImpf,1p,cantáramos,Unknown-tense,No hay generador para este modo/tiempo
cantar,subjunctive,subjImpf,2p_vosotros,cantarais,Unknown-tense,No hay generador para este modo/tiempo
cantar,subjunctive,subjImpf,3p,cantaran,Unknown-tense,No hay generador para este modo/tiempo
escuchar,subjunctive,subjImpf,1s,escuchara,Unknown-tense,No hay generador para este modo/tiempo
escuchar,subjunctive,subjImpf,2s_tu,escucharas,Unknown-tense,No hay generador para este modo/tiempo
escuchar,subjunctive,subjImpf,2s_vos,escucharas,Unknown-tense,No hay generador para este modo/tiempo
escuchar,subjunctive,subjImpf,3s,escuchara,Unknown-tense,No hay generador para este modo/tiempo
escuchar,subjunctive,subjImpf,1p,escucháramos,Unknown-tense,No hay generador para este modo/tiempo
escuchar,subjunctive,subjImpf,2p_vosotros,escucharais,Unknown-tense,No hay generador para este modo/tiempo
escuchar,subjunctive,subjImpf,3p,escucharan,Unknown-tense,No hay generador para este modo/tiempo
mirar,subjunctive,subjImpf,1s,mirara,Unknown-tense,No hay generador para este modo/tiempo
mirar,subjunctive,subjImpf,2s_tu,miraras,Unknown-tense,No hay generador para este modo/tiempo
mirar,subjunctive,subjImpf,2s_vos,miraras,Unknown-tense,No hay generador para este modo/tiempo
mirar,subjunctive,subjImpf,3s,mirara,Unknown-tense,No hay generador para este modo/tiempo
mirar,subjunctive,subjImpf,1p,miráramos,Unknown-tense,No hay generador para este modo/tiempo
mirar,subjunctive,subjImpf,2p_vosotros,mirarais,Unknown-tense,No hay generador para este modo/tiempo
mirar,subjunctive,subjImpf,3p,miraran,Unknown-tense,No hay generador para este modo/tiempo
pensar,indicative,pres,1s,pienso,Mismatch,Esperado: penso
pensar,indicative,pres,2s_tu,piensas,Mismatch,Esperado: pensas
pensar,indicative,pres,2s_vos,pensás,Mismatch, | 'accepts' inválido para tu: piensas (esperado pensas)
pensar,imperative,impAff,2s_tu,piensa,Mismatch,Esperado: pensa
pensar,imperative,impNeg,2s_tu,no pienses,Mismatch,Esperado: no penses
pensar,imperative,impNeg,2s_vos,no pienses,Mismatch,Esperado: no penses
pensar,subjunctive,subjPres,2s_tu,pienses,Mismatch,Esperado: penses
pensar,subjunctive,subjPres,2s_vos,pienses,Mismatch,Esperado: penses
pensar,indicative,pres,3s,piensa,Mismatch,Esperado: pensa
pensar,indicative,pres,3p,piensan,Mismatch,Esperado: pensan
pensar,subjunctive,subjImpf,1s,pensara,Unknown-tense,No hay generador para este modo/tiempo
pensar,subjunctive,subjImpf,2s_tu,pensaras,Unknown-tense,No hay generador para este modo/tiempo
pensar,subjunctive,subjImpf,2s_vos,pensaras,Unknown-tense,No hay generador para este modo/tiempo
pensar,subjunctive,subjImpf,3s,pensara,Unknown-tense,No hay generador para este modo/tiempo
pensar,subjunctive,subjImpf,1p,pensáramos,Unknown-tense,No hay generador para este modo/tiempo
pensar,subjunctive,subjImpf,2p_vosotros,pensarais,Unknown-tense,No hay generador para este modo/tiempo
pensar,subjunctive,subjImpf,3p,pensaran,Unknown-tense,No hay generador para este modo/tiempo
pensar,subjunctive,subjPres,1s,piense,Mismatch,Esperado: pense
pensar,subjunctive,subjPres,3s,piense,Mismatch,Esperado: pense
pensar,subjunctive,subjPres,3p,piensen,Mismatch,Esperado: pensen
pensar,imperative,impAff,3s,piense,Mismatch,Esperado: pense
pensar,imperative,impAff,3p,piensen,Mismatch,Esperado: pensen
pensar,imperative,impNeg,3s,no piense,Mismatch,Esperado: no pense
pensar,imperative,impNeg,3p,no piensen,Mismatch,Esperado: no pensen
